Data;Last;Open;High;Close
20170508;65526.04;65705.29;66014.81;65295.2
20170505;65709.74;64868.68;65768.15;64863.26
20170504;64862.61;66069.19;66098.82;64720.93
20170503;66093.78;66720.39;66757.94;65898.48
20170502;66721.75;65404.05;66851.34;65404.05
20170428;65403.25;64679.27;65403.25;64591.58
20170427;64676.55;64871.78;65326.5;64292.09
20170426;64861.92;65143.68;65436.3;64679.05
20170425;65148.35;64383.5;65148.35;63875.22
20170424;64389.01;63761.21;64753.68;63761.21
20170420;63760.62;63406.12;64163.4;63388.19
20170419;63406.97;64164.93;64572.29;63218.81
20170418;64158.84;64335.74;64590.7;63716.75
20170417;64334.93;62827.58;64423.68;62827.58
20170413;62826.28;63891.14;63991.8;62826.28
20170412;63891.68;64362.46;64455.66;63814.16
20170411;64359.79;64650.29;64871.81;63351.37
20170410;64649.81;64593.1;64927.58;64115.05
20170407;64593.1;64201.84;65197.3;64016.16
20170406;64222.72;64774.76;64921.2;63762.13
20170405;64774.76;65769.94;66211.17;64492.59
20170404;65768.91;65211.7;65775.01;64989.53
20170403;65211.48;64989.21;65384.21;64774.19
20170331;64984.07;65266.22;65596.61;64859.03
20170330;65265.98;65541.26;65775.41;65070.19
20170329;65528.29;64635.56;65551.37;64476.06
20170328;64640.45;64308.08;64847.15;64041.7
20170327;64308.39;63829.32;64356.32;63030.09
20170324;63853.77;63553.78;63997.33;63468.6
20170323;63530.79;63521.33;63942.06;62840.03
20170322;63521.33;62980.03;63747.06;62496.17
20170321;62980.37;64883.93;64964.54;62794.75
20170320;64884.27;64209.93;65135.89;63672.13
20170317;64209.94;65783.48;66205.1;64151.75
20170316;65782.85;66232.18;66554.15;65530.52
20170315;66234.87;64701.86;66317.67;64537.21
20170314;64699.46;65511.27;65549.4;64699.46
20170313;65534.3;64674.12;65651.25;64674.12
20170310;64675.46;64585.9;65724.82;64471.98
20170309;64585.24;64718.02;65067.91;64202.84
20170308;64718.02;65747.7;65809.51;64496.42
20170307;65742.32;66343;66641.04;65667.94
20170306;66341.37;66786.01;66891.75;66118.7
20170303;66785.53;65860.37;66800.75;65860.37
20170302;65854.93;67000.38;67035.31;65593.85
20170301;66988.88;66661.27;67397.88;66661.27
20170224;66662.1;67458.48;67458.48;66452.07
20170223;67461.39;68590.5;69487.58;67279.36
20170222;68589.54;69052.09;69052.09;68282.04
20170221;69052.03;68536.46;69111.74;68536.46
20170220;68532.86;67756.15;68673.9;67756.15
20170217;67748.42;67814.24;67819.34;67157.67
20170216;67814.24;67978.77;68455.85;67661.42
20170215;67975.58;66712.28;68015.57;66712.28
20170214;66712.88;66971.34;67110.44;66251.14
20170213;66967.64;66124.53;67093.64;66124.53
20170210;66124.53;64964.89;66291.72;64935.42
20170209;64964.89;64850.11;65302.16;64586.73
20170208;64835.4;64199.86;64835.4;63739.96
20170207;64198.9;64022.34;64815.27;63937.92
20170206;63992.93;64957.48;65326.58;63932.71
20170203;64953.93;64579.26;65387.02;64264.2
20170202;64578.22;64835.04;65132.35;64162.64
20170201;64836.13;64686.87;65593.52;64686.87
20170131;64670.78;64309.77;64900.6;64283.59
20170130;64301.73;66025.22;66025.47;64164.59
20170127;66033.99;66195.21;66242.07;65875.96
20170126;66190.62;65841.71;66593.58;65841.71
20170124;65840.09;65751.89;66172.86;65615.27
20170123;65748.63;64518.51;65815.85;64500.43
20170120;64521.18;63950.86;64693.54;63950.86
20170119;63950.86;64145.28;64455.74;63573.81
20170118;64149.58;64359.61;64680.35;64062.55
20170117;64354.34;63827.32;64658.01;63456.01
20170116;63831.28;63651.52;64013.78;63555.67
20170113;63651.52;63939.59;64091.98;63365.78
20170112;63953.93;62448.02;64342.39;62448.02
20170111;62446.26;62133.61;62674.45;61664.6
20170110;62131.8;61710.16;62445.9;61710.16
20170109;61700.29;61680.07;62111.59;61307.46
20170106;61665.37;62071.5;62071.5;61395.57
20170105;62070.98;61594.13;62408.6;61594.13
20170104;61589.06;61810.85;61940.47;61302.28
20170103;61813.83;59631.15;61814.6;59631.15
20170102;59588.7;60227.28;60227.28;59370.9
20161229;60227.29;59781.92;60248.07;59277.63
20161228;59781.63;58688.04;59911.12;58688.04
20161227;58696.69;58627.19;59067.69;58402.39
20161226;58620.26;57940.76;58781.46;57940.76
20161223;57937.11;57255.22;58142.76;57255.22
20161222;57255.22;57645.94;57645.94;56828.56
20161221;57646.52;57583.3;58049.05;57221.5
20161220;57582.89;57115.86;57918.26;57038.49
20161219;57110.99;58390.13;58599.87;57109.27
20161216;58389.04;58397.63;59311.74;58365.46
20161215;58396.16;58213.75;58635.22;57574.74
20161214;58212.12;59280.13;59337.76;58212.12
20161213;59280.57;59177.53;59946.44;58757.51
20161212;59178.61;60516.6;60516.6;59034.94
20161209;60500.62;60688.41;61129.09;60315.83
20161208;60676.57;61429.96;61935.7;60499.4
20161207;61414.4;61110.81;61917.93;61062.22
20161206;61088.25;59828.46;61234.93;59395.92
20161205;59831.73;60322.39;60720.08;59635.01
20161202;60316.13;59498.85;60378.91;58092.29
20161201;59506.54;61906.35;61910.6;59058.08
20161130;61906.36;60994.05;62589.83;60994.05
20161129;60986.52;62858.77;62858.77;60979.55
20161128;62855.5;61558.56;62934.36;61240.48
20161125;61559.08;61393.86;61559.08;60572.79
20161124;61395.53;61998.99;62104.92;61392.18
20161123;61985.91;61955.55;62046.15;61233.53
20161122;61954.47;61072.1;62549.61;61072.1
20161121;61070.27;59962.7;61070.27;59962.7
20161118;59961.76;59770.33;60193.29;59327.34
20161117;59770.47;60762.94;61492.74;59745.66
20161116;60759.32;59658.5;60915.21;59363.83
20161114;59657.46;59183.14;59961.38;58322.32
20161111;59183.51;61198.71;61626.4;58920.95
20161110;61200.96;63260.76;63903.15;60553.18
20161109;63258.27;64157.44;64358.32;61794.36
20161108;64157.68;64051.65;64767.02;63381.34
20161107;64051.65;61600.74;64193.01;61600.74
20161104;61598.39;61749.23;62698.63;61491.4
20161103;61750.17;63324.67;63523.7;61750.17
20161101;63326.42;64921.91;65291.06;63018.57
20161031;64924.52;64311.51;65054.43;64311.51
20161028;64307.63;64250.59;64728.28;63777.97
20161027;64249.5;63827.32;64608.57;63827.32
20161026;63825.69;63859.97;63924.26;63083.64
20161025;63866.2;64058.56;64266.34;63247.64
20161024;64059.89;64140.73;64691.43;63913.56
20161021;64108.08;63838.09;64371.8;63378.72
20161020;63837.85;63494.68;63927.2;62728.75
20161019;63505.61;63783.66;64089;63308.54
20161018;63782.21;62701.39;63937.44;62701.39
20161017;62696.11;61767.58;62696.11;61718.83
20161014;61767.22;61120.45;62038.64;61120.45
20161013;61118.58;61020.38;61328.59;60243.14
20161011;61021.85;61668.33;61668.33;60884.77
20161010;61668.33;61130.24;61756.33;61130.24
20161007;61108.98;60645.41;61274.57;60478.95
20161006;60644.24;60254.34;60723.99;60070.31
20161005;60254.34;59340.04;60477.3;59340.04
20161004;59339.23;59461.22;59579.77;58891.86
20161003;59461.23;58370.15;59548.54;58366.55
20160930;58367.05;58349.99;58900.44;58271.36
20160929;58350.57;59346;59621.19;58291.79
20160928;59355.77;58382.75;59415.41;58353.48
20160927;58382.49;58066.44;58490.38;57410.72
20160926;58053.53;58697.03;58697.03;57904.19
20160923;58697;58992.22;59130.83;58408.8
20160922;58994.17;58407.63;59462.44;58407.63
20160921;58393.92;57736.46;58574.6;57326.03
20160920;57736.46;57355.59;57902.29;57355.59
20160919;57350.38;57082.82;58024.87;57082.82
20160916;57079.76;57909.49;57909.49;56794.11
20160915;57909.49;57068.26;58127.11;57068.26
20160914;57059.46;56812.4;57341.97;56694.45
20160913;56820.77;58579.91;58579.91;56459.11
20160912;58586.11;57998.16;58595.09;57511.17
20160909;57999.73;60220.18;60220.18;57961.41
20160908;60231.65;60129.3;60310.5;59742.86
20160906;60129.44;59565.62;60129.44;59182.14
20160905;59566.34;59616.39;59985.52;59402.23
20160902;59616.4;58240.53;59654.66;58240.53
20160901;58236.27;57901.45;58416.8;57637.8
20160831;57901.11;58579.97;58910.43;57506.4
20160830;58575.42;58610.39;58881.63;58292.87
20160829;58610.39;57717.18;58957.18;57641.51
20160826;57716.25;57724.94;58655.21;57259.13
20160825;57722.14;57717.88;58123.74;57638.64
20160824;57717.88;58019.15;58332.13;57456.4
20160823;58020.03;57781.24;58596.37;57781.24
20160822;57781.24;59079.71;59098.94;57631.38
20160819;59098.92;59158.28;59239.87;58599.48
20160818;59166.02;59323.83;59417.88;58828.96
20160817;59323.83;58846.94;59323.83;58081.45
20160816;58855.43;59144.35;59187.33;58589.19
20160815;59145.98;58316.23;59323.91;58316.23
20160812;58298.41;58299.57;58753.03;57986.92
20160811;58299.57;56925.04;58308.39;56922.83
20160810;56919.78;57690.34;57952.87;56735.24
20160809;57689.42;57637.48;58094.57;57615.15
20160808;57635.43;57655.48;57917.06;57504.17
20160805;57661.14;57609.42;57950.9;57289.55
20160804;57593.9;57075.72;58030.38;57075.72
20160803;57076.91;56157.39;57101.09;55788
20160802;56162.38;56755.92;56973.57;55695.52
20160801;56755.76;57309.23;57729.31;56675.81
20160729;57308.21;56663.94;57473.83;56339.59
20160728;56667.12;56853.32;56853.32;55992.71
20160727;56852.84;56788.47;57380.3;56788.47
20160726;56782.75;56876.24;57309.5;56707.84
20160725;56872.73;57006.39;57205.25;56397.88
20160722;57002.08;56641.49;57170.56;56518.04
20160721;56641.49;56578.05;56906.27;56232.51
20160720;56578.05;56698.77;56927.16;56220.73
20160719;56698.06;56487.3;56698.06;56246.15
20160718;56484.22;55573.29;56508.98;55355.07
20160715;55578.24;55481.75;55648.7;55233.2
20160714;55480.87;54600.82;55633.54;54600.82
20160713;54598.28;54256.4;54646.91;53732.82
20160712;54256.41;53960.58;54746.3;53960.58
20160711;53960.11;53143.48;54020.65;53143.48
20160708;53140.74;52019.55;53166.49;52019.55
20160707;52014.66;51901.8;52718.79;51888.19
20160706;51901.81;51842.15;51908.75;50824.99
20160705;51842.27;52565.2;52565.2;51510.43
20160704;52568.66;52241.12;52917.78;52241.12
20160701;52233.04;51540.21;52346.07;51411.23
20160630;51526.93;51001.38;51619.06;50585.06
20160629;51001.91;50009.45;51229.09;50009.45
20160628;50006.56;49252.12;50301.43;49252.12
20160627;49245.53;50105.81;50161.61;48954.41
20160624;50105.26;51561.05;51561.05;49544.32
20160623;51559.82;50160.76;51672.63;50160.76
20160622;50156.3;50834.72;51238.56;50060.39
20160621;50837.8;50326.04;50870.42;49677.76
20160620;50329.36;49539.4;50781.55;49539.4
20160617;49533.84;49409.25;50190.52;49404.79
20160616;49411.62;48900.91;49411.62;48066.67
20160615;48914.74;48649.41;49414.95;48323.67
20160614;48648.29;49662.11;49894.4;48216.36
20160613;49660.79;49418.63;49763.54;48803.56
20160610;49422.16;51117.44;51117.44;49420.98
20160609;51118.46;51632.81;51632.81;50831.67
20160608;51629.29;50490.11;51811.58;50490.11
20160607;50487.86;50431.68;50641.12;50004.67
20160606;50431.8;50627.24;50923.54;50097.27
20160603;50619.5;49888.31;50634.36;49888.31
20160602;49887.24;49007.81;49905.57;48780.54
20160601;49012.65;48468.19;49056.89;48199.87
20160531;48471.71;48963.18;49269.22;48291.51
20160530;48964.34;49051.17;49203.06;48799.22
20160527;49051.49;49481.32;49805.14;48868.56
20160525;49482.86;49346.5;50356.95;49346.5
20160524;49345.19;49330.42;50002.07;49152.88
20160523;49330.42;49709.17;49709.17;48694.73
20160520;49722.75;50132.65;50821.74;49722.75
20160519;50132.53;50556.06;50556.06;49588.26
20160518;50561.7;50836.08;51373.21;50300.63
20160517;50839.44;51795.46;51946.1;50689.36
20160516;51802.92;51803.33;52305.46;51584.51
20160513;51804.31;53236.48;53249.73;51365.57
20160512;53241.31;52765.27;53798.05;52424.04
20160511;52764.46;53072.4;53976.29;52735.94
20160510;53070.91;50994.01;53070.91;50994.01
20160509;50990.06;51716.51;51716.51;49907.77
20160506;51717.83;51670.57;52158.95;51204.04
20160505;51671.04;52568.61;53070.71;51310.97
20160504;52552.8;52253.14;52672.44;51930.77
20160503;52260.19;53557.14;53557.14;52260.19
20160502;53561.53;53909.53;54112.79;53265.28
20160429;53910.51;54316.76;54705.14;53591.6
20160428;54311.97;54475.28;54977.7;53963.1
20160427;54477.78;53094.22;54559.56;53094.22
20160426;53082.5;51867.04;53107.76;51838.25
20160425;51861.71;52911.07;52948.66;51748.28
20160422;52907.88;53630.07;53630.07;52629.48
20160420;53630.93;53710.68;53857.36;53149
20160419;53710.05;52894.08;54054.03;52894.08
20160418;52894.08;53228.74;53478.75;52305.37
20160415;53227.74;52414.24;53390.42;52414.24
20160414;52411.02;53150.34;53699.35;52242.23
20160413;53149.84;52009.52;53843.74;52009.52
20160412;52001.86;50166.46;52327.21;50166.46
20160411;50165.47;50303.33;51088.89;50078.23
20160408;50292.93;48517.02;50485.98;48517.02
20160407;48513.1;48099.11;48940.48;48099.11
20160406;48096.24;49053.82;49053.82;47873.65
20160405;49053.62;48778.04;49629.43;48148.75
20160404;48779.99;50556.18;50556.18;48600.45
20160401;50561.53;50054.41;50767.88;49360.87
20160331;50055.27;51248.29;51248.29;49642.15
20160330;51248.92;51154.99;52261.94;50899.85
20160329;51154.99;50839.28;51764.75;50387.33
20160328;50838.23;49686.52;51149.11;49686.52
20160324;49657.39;49686.04;49686.04;48777.8
20160323;49690.05;51004.57;51004.57;49490.73
20160322;51010.19;51170.48;51215.15;50811.59
20160321;51171.55;50815.53;51370.19;50764.53
20160318;50814.66;50915.46;51307.69;50202.02
20160317;50913.79;47770.46;51268.15;47770.46
20160316;47763.43;47129.74;47813.79;46520.81
20160315;47130.02;48866.35;48866.35;46684.42
20160314;48867.33;49639.02;50165.85;48756.51
20160311;49638.68;49573.88;50038.37;49156.02
20160310;49571.11;48666.75;49974.19;47922.39
20160309;48665.09;49102.41;50000.84;48623.35
20160308;49102.14;49244.43;49913.77;48846.92
20160307;49246.1;49089.16;49639.26;48746.43
20160304;49084.87;47193.67;50023.75;47193.67
20160303;47193.39;44900.39;47374.52;44900.39
20160302;44893.48;44121.93;44982.91;43841.19
20160301;44121.79;42795.17;44181.29;42795.17
20160229;42793.86;41599.44;43052.61;41599.44
20160226;41593.08;41889.06;42495.22;41416.54
20160225;41887.9;42083.56;42326.62;41441.7
20160224;42084.56;42520.7;42520.7;41210.72
20160223;42520.94;43235.1;43601.33;42358.66
20160222;43234.85;41544.38;43345.22;41544.38
20160219;41543.4;41476.9;41827.97;41070.88
20160218;41477.63;41623.94;41697.8;41183.4
20160217;41630.82;40957.61;42436.44;40957.61
20160216;40947.7;40093.26;41206.47;40074.23
20160215;40092.89;39808.41;40671.42;39808.41
20160214;39808.05;39808.05;39808.05;39808.05
20160212;39808.05;39324.24;39900.58;39324.24
20160211;39318.3;40370.02;40370.02;38927.56
20160210;40376.58;40592.09;40592.09;39960.18
20160205;40592.09;40811.8;41248.75;40565.83
20160204;40821.74;39589.17;41444.2;39589.17
20160203;39588.82;38596.53;39725.69;38596.53
20160202;38596.17;40563.78;40563.78;38596.17
20160201;40570.04;40396.51;40570.04;39738.09
20160129;40405.99;38634.71;40405.99;38634.71
20160128;38630.19;38376.37;39099.82;37996.09
20160127;38376.37;37500.79;38765.6;37402.09
20160126;37497.48;38031.22;38031.22;37112.35
20160122;38031.22;37736.93;38443.8;37736.93
20160121;37717.11;37647.04;38079.18;37494.82
20160120;37645.48;38056.03;38056.03;37046.07
20160119;38057.01;37941.23;38856.51;37941.23
20160118;37937.27;38572.28;38633.08;37937.27
20160115;38569.13;39493.86;39493.86;37986.07
20160114;39500.11;38944.2;39501.93;38458.69
20160113;38944.44;39518.4;40050.31;38822.29
20160112;39513.83;39954.86;40261.31;39425.97
20160111;39950.49;40612.09;40973.62;39924.22
20160110;40612.21;40612.21;40612.21;40612.21
20160108;40612.21;40695.04;41217.8;40463.49
20160107;40694.72;41772.15;41772.15;40694.72
20160106;41773.14;42409.95;42409.95;41589.97
20160105;42419.32;42139.23;42533.62;42137.26
20160104;42141.04;43348.91;43348.91;42125.02
20151231;43349.96;43349.96;43349.96;43349.96
20151230;43349.96;43653.44;43662.46;43217.38
20151229;43653.97;43781.17;44041.53;43523.3
20151228;43764.34;44015.68;44087.01;43709.01
20151223;44014.93;43478.91;44232.58;43478.91
20151222;43469.52;43208.17;43632.08;43136.97
20151221;43199.95;43912.28;44222.53;43196.16
20151218;43910.6;45248.67;45248.67;43690.31
20151217;45261.48;45016.16;46251.3;45016.16
20151216;45015.85;44867.65;45098.94;44094.84
20151215;44872.47;44748.43;45423.04;44748.43
20151214;44747.31;45257.91;45257.91;44530.72
